"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-7.01012897181279,0.041,0.867,0,"VCAN"
0,7.63541940639846,0.835,0.011,0,"AL450405.1"
0,-5.01833228387704,0.131,0.934,0,"OGN"
0,5.06855056036003,0.887,0.092,0,"RERGL"
0,-5.04844547924425,0.106,0.895,0,"MYH10"
0,-5.72024456046599,0.055,0.842,0,"CCN3"
0,-5.44287671397299,0.116,0.901,0,"IGFBP2"
0,-5.7038289337924,0.036,0.811,0,"FBLN5"
0,-6.01538685865457,0.046,0.82,0,"EFEMP1"
0,-6.62202289111547,0.031,0.759,0,"LTBP2"
0,-7.00519981569318,0.013,0.74,0,"COL8A1"
0,4.48337405556068,0.754,0.034,0,"XIST"
0,3.68692028233298,0.926,0.209,0,"BCAM"
0,-4.60950796795308,0.061,0.773,0,"NNMT"
0,-3.86873255707713,0.035,0.741,0,"RPS4Y1"
0,-5.30972063219753,0.03,0.707,0,"LIMCH1"
0,3.76457577650962,0.819,0.142,0,"ITIH5"
0,6.47700144160076,0.687,0.015,0,"COX4I2"
0,3.60190491807032,0.791,0.12,0,"NTRK2"
0,-6.44428221263005,0.011,0.669,0,"PCDH7"
0,-7.25132156226128,0.014,0.67,0,"CCN5"
0,-3.49524032091649,0.214,0.869,0,"C1R"
0,-3.18204504860496,0.179,0.828,0,"FBLIM1"
0,-8.21666749302267,0.006,0.648,0,"TNFRSF11B"
0,-6.81719008597199,0.012,0.652,0,"SPINT2"
0,-3.24479766691138,0.159,0.794,0,"C1S"
0,-4.82271366318314,0.351,0.984,0,"FN1"
0,-6.59585610172146,0.016,0.641,0,"THBS2"
0,-5.35824916507196,0.034,0.656,0,"FMOD"
0,3.85672529524934,0.713,0.097,0,"EDNRA"
0,-4.06423341105341,0.319,0.921,0,"CCN2"
0,3.54623128028,0.697,0.095,0,"CASQ2"
0,3.45002404072335,0.707,0.105,0,"KCNAB1"
0,-4.91552486568979,0.081,0.682,0,"ADH1B"
0,2.96676266458556,0.864,0.265,0,"HES4"
0,3.40565124459901,0.785,0.186,0,"OAZ2"
0,-3.20058024129978,0.349,0.947,0,"LTBP1"
0,3.67097477693124,0.675,0.083,0,"GJA4"
0,-4.10904346754346,0.357,0.945,0,"PRELP"
0,-3.02092983591767,0.142,0.715,0,"SMOC2"
0,-4.8452172015417,0.052,0.625,0,"SULF1"
0,-7.01903313972415,0.009,0.576,0,"OMD"
0,-5.04645237833894,0.031,0.595,0,"PLXDC2"
0,-6.58320521317155,0.012,0.576,0,"ITGBL1"
0,-6.06045279609095,0.063,0.622,0,"CFH"
0,-3.349985051129,0.09,0.645,0,"LTBP4"
0,-2.7270989196306,0.246,0.8,0,"TCEAL3"
0,5.24274304761017,0.58,0.026,0,"NRARP"
0,2.88719005853187,0.796,0.251,0,"TBX2"
0,-3.33412671060529,0.105,0.642,0,"PRSS23"
